league	apm	hotkeys	minimap	supply	mannered	unique	ami	avi	aum	auv	sq	workers
d	c	low medium high	c	c	c	c	c	c	c	c	c	c
class
2	72.8709677419	low	13	15.401540154	0	6	1368.20652174	391.043478261	623.413043478	1339.67934783	58.9763684158	2.37623762376
3	52.8235294118	low	53	13.0653266332	0	6	788.921568627	213.960784314	438.970588235	231.607843137	60.3032853618	4.46231155779
5	136.875	high	7	2.12916962385	0	10	910.699300699	338.909090909	326.608391608	408.713286713	68.9079402409	2.89567068843
3	65.2222222222	low	1	1.93798449612	0	6	1077.21153846	344.769230769	348.990384615	189.384615385	88.0845408665	3.83720930233
4	33.2352941176	low	44	0.968992248062	0	7	675.673076923	208.923076923	831.826923077	310.5	35.9875938194	2.67441860465
5	77.9583333333	low	10	2.08478109798	0	7	1021.44827586	352.110344828	989.137931034	511.006896552	49.8960431667	2.50173731758
3	64.0714285714	low	13	15.6626506024	0	5	641.976744186	95.2558139535	158.313953488	137.976744186	76.1533640932	3.32530120482
1	48.0526315789	low	40	14.1969831411	0	6	503.304347826	130.504347826	187.339130435	193.730434783	62.3867589049	3.24755989352
5	105.25	low	16	3.13479623824	0	6	785.670103093	159.175257732	867.556701031	170.896907216	42.2132560864	3.00940438871
5	163.875	low	13	11.4942528736	0	5	883.854166667	213.0	399.458333333	387.5	59.2080216745	4.89028213166
2	80.3157894737	medium	9	12.5786163522	1	4	950.09009009	153.945945946	342.225225225	141.954954955	76.552529059	3.61185983827
7	87.0588235294	medium	43	7.13557594292	0	8	1026.5	281.44	286.35	205.43	85.7846218294	3.4250764526
3	92.1	medium	76	15.2284263959	0	7	1091.51260504	301.983193277	773.840336134	217.546218487	65.3494652075	0.0
3	100.272727273	medium	44	4.55927051672	1	7	1546.91729323	433.203007519	1724.13533835	374.631578947	67.2280840057	5.28875379939
4	39.1764705882	low	2	26.5486725664	0	6	776.634615385	254.307692308	474.471153846	230.480769231	59.8991474344	0.0
7	164.074074074	low	236	5.69620253165	0	7	1053.625	410.9	566.575	181.35	78.6183790551	2.73417721519
6	211.833333333	medium	137	3.49406009783	0	9	1087.73972603	322.630136986	344.109589041	252.753424658	83.918167907	3.94129979036
6	74.9230769231	medium	18	6.5445026178	0	6	880.379746835	219.341772152	622.088607595	307.012658228	53.5340260032	4.55497382199
6	169.80952381	medium	31	15.8069883527	0	7	1350.73770492	400.524590164	702.663934426	401.114754098	78.7457110285	5.29118136439
